name,type,value,date
みんなのハッピーバースデイ,芦田爱菜,89.23,2011/11/21
MY EYE AH,Be-ppin,82.69,2011/11/21
月夜の肖像,栗山千明,64.97,2011/11/21
うたをうたおう,moumoon,62.68,2011/11/21
Present 完整版,flumpool,62.03,2011/11/21
Woman's Worth,黑木明纱,59.91,2011/11/21
みずいろの影,JUJU,59.31,2011/11/21
JUDY,GARNET CROW,58.42,2011/11/21
たとえ どんなに... 完整版,西野加奈,56.67,2011/11/21
虹の雪,Alice Nine,56.63,2011/11/21
Test Drive,赤西仁 Jason Derulo,56.11,2011/11/21
Fight For The Eight,関ジャニ∞,53.86,2011/11/21
Switch On!,土屋安娜,53.51,2011/11/21
Your Best Friend 完整版,仓木麻衣,53.27,2011/11/21
LOVE SONG,Funky Monkey Babys,50.94,2011/11/21
マル.マル.モリ.モリ!,薰と友树、たまにムック。,48.55,2011/11/21
スパイス,Perfume,47.66,2011/11/21
桜色舞うころ,清木场俊介,46.52,2011/11/21
モンじゃい.ビート,関ジャニ∞,45.13,2011/11/21
Love Story,安室奈美惠,87.45,2011/11/28
Love Me Back 完整版,倖田来未,86.49,2011/11/28
レーザービーム 完整版,Perfume,81.85,2011/11/28
This Is My Life 完整版,EXILE,78.55,2011/11/28
ノエルの夜,AKB48,77.92,2011/11/28
MY EYE AH,Be-ppin,73.83,2011/11/28
恋スルキモチ 完整版,武井咲,69.38,2011/11/28
STAR RIDER,KAT-TUN,68.72,2011/11/28
みんなのハッピーバースデイ,芦田爱菜,68.37,2011/11/28
Landscape 完整版,Every Little Thing,64.44,2011/11/28
Dreaming Girls,Dream(日本),62.32,2011/11/28
ROMAN,加藤ミリヤ,60.29,2011/11/28
Dual Wing,神谷浩史,59.44,2011/11/28
We Never Give Up!,Kis-My-Ft2,55.47,2011/11/28
Test Drive,赤西仁 Jason Derulo,53.57,2011/11/28
Your Best Friend 完整版,仓木麻衣,52.22,2011/11/28
たとえ どんなに... 完整版,西野加奈,51.19,2011/11/28
月夜の肖像,栗山千明,49.87,2011/11/28
Woman's Worth,黑木明纱,46.84,2011/11/28
LOVE SONG,Funky Monkey Babys,42.72,2011/11/28
ノエルの夜,AKB48,92.7,2011/12/5
Love Me Back 完整版,倖田来未,80.29,2011/12/5
Love Story,安室奈美惠,75.75,2011/12/5
Sweet Jewel,Fairies,72.6,2011/12/5
Breeze Out,黑木明纱,68.26,2011/12/5
チクタク 2NITE,9nine,67.02,2011/12/5
This Is My Life 完整版,EXILE,65.86,2011/12/5
MY EYE AH,Be-ppin,65.31,2011/12/5
恋スルキモチ 完整版,武井咲,64.15,2011/12/5
Test Drive,赤西仁 Jason Derulo,63.91,2011/12/5
レーザービーム 完整版,Perfume,56.45,2011/12/5
隣人は伤つかない,AKB48,55.52,2011/12/5
ホロスコープ,中川翔子,54.7,2011/12/5
たとえ どんなに... 完整版,西野加奈,53.49,2011/12/5
Your Best Friend 完整版,仓木麻衣,53.39,2011/12/5
ゼロサム太阳,AKB48,52.18,2011/12/5
Landscape 完整版,Every Little Thing,51.42,2011/12/5
マル.マル.モリ.モリ!,薰と友树、たまにムック。,48.12,2011/12/5
みんなのハッピーバースデイ,芦田爱菜,47.72,2011/12/5
Dreaming Girls,Dream(日本),41.03,2011/12/5
Seasons,赤西仁,92.78,2011/12/12
冬のベンチ,シド(SID),78.89,2011/12/12
ペディキュアday,No3b,75.34,2011/12/12
冬が终わる前に,清水翔太,69.94,2011/12/12
初恋サイダー,Buono!,69.19,2011/12/12
Love Story,安室奈美惠,68.98,2011/12/12
ノエルの夜,AKB48,65.92,2011/12/12
Test Drive,赤西仁 Jason Derulo,63.57,2011/12/12
ドキドキベイビー,真野惠里菜,61.27,2011/12/12
Love Me Back 完整版,倖田来未,57.75,2011/12/12
MY EYE AH,Be-ppin,56.87,2011/12/12
チクタク 2NITE,9nine,51.97,2011/12/12
Sweet Jewel,Fairies,51.54,2011/12/12
マル.マル.モリ.モリ!,薰と友树、たまにムック。,51.31,2011/12/12
卒业,高桥优,50.43,2011/12/12
たとえ どんなに... 完整版,西野加奈,49.09,2011/12/12
Your Best Friend 完整版,仓木麻衣,48.51,2011/12/12
恋スルキモチ 完整版,武井咲,45.25,2011/12/12
みんなのハッピーバースデイ,芦田爱菜,44.85,2011/12/12
LOVE SONG,Funky Monkey Babys,41.45,2011/12/12
我愿意,EXILE ATSUSHI,100,2011/12/19
Seasons,赤西仁,77.37,2011/12/19
ALL MY LOVE,YELLOW FRIED CHICKENz,68.57,2011/12/19
メッセージ,植村花菜,67.25,2011/12/19
冬のベンチ,シド(SID),65.93,2011/12/19
初恋サイダー,Buono!,62.82,2011/12/19
Test Drive,赤西仁 Jason Derulo,62.61,2011/12/19
Love Story,安室奈美惠,60.95,2011/12/19
ペディキュアday,No3b,60.4,2011/12/19
ドキドキベイビー,真野惠里菜,53.16,2011/12/19
MY EYE AH,Be-ppin,49.11,2011/12/19
This Is My Life 完整版,EXILE,49.06,2011/12/19
冬が终わる前に,清水翔太,48.85,2011/12/19
ノエルの夜,AKB48,48.24,2011/12/19
Your Best Friend 完整版,仓木麻衣,46.33,2011/12/19
たとえ どんなに... 完整版,西野加奈,46.06,2011/12/19
Love Me Back 完整版,倖田来未,44.96,2011/12/19
相信爱,中孝介 林育羣,41.04,2011/12/19
Sweet Jewel,Fairies,40.55,2011/12/19
チクタク 2NITE,9nine,39.77,2011/12/19
我愿意,EXILE ATSUSHI,92.84,2011/12/26
Seasons,赤西仁,75.34,2011/12/26
冬のベンチ,シド(SID),70.01,2011/12/26
Love Story,安室奈美惠,68.64,2011/12/26
ALL MY LOVE,YELLOW FRIED CHICKENz,62.89,2011/12/26
ドキドキベイビー,真野惠里菜,62.54,2011/12/26
たとえ どんなに... 完整版,西野加奈,60.29,2011/12/26
MY EYE AH,Be-ppin,56.75,2011/12/26
Test Drive,赤西仁 Jason Derulo,54.73,2011/12/26
ペディキュアday,No3b,54.52,2011/12/26
Your Best Friend 完整版,仓木麻衣,53.8,2011/12/26
ノエルの夜,AKB48,53.65,2011/12/26
初恋サイダー,Buono!,52.56,2011/12/26
This Is My Life 完整版,EXILE,50.27,2011/12/26
Love Me Back 完整版,倖田来未,46.33,2011/12/26
Sweet Jewel,Fairies,44.74,2011/12/26
メッセージ,植村花菜,42.37,2011/12/26
レーザービーム 完整版,Perfume,41.81,2011/12/26
"Everyday,カチューシャ",AKB48,40.48,2011/12/26
CHASE,彩虹乐队,39.78,2011/12/26
ワンダフル キューピット 完整版,NYC,93.27,2012/1/2
はじまりのとき,绚香,89.18,2012/1/2
我愿意,EXILE ATSUSHI,88.73,2012/1/2
今夜はから騒ぎ,东京事变,83.63,2012/1/2
いつだって僕らは,いきものがかり,74.8,2012/1/2
Seasons,赤西仁,68.7,2012/1/2
Love Story,安室奈美惠,65.68,2012/1/2
冬のベンチ,シド(SID),60.9,2012/1/2
マル.マル.モリ.モリ!,薰と友树、たまにムック。,59.99,2012/1/2
Love Me Back 完整版,倖田来未,59.26,2012/1/2
Your Best Friend 完整版,仓木麻衣,59.25,2012/1/2
CHASE,彩虹乐队,58.19,2012/1/2
たとえ どんなに... 完整版,西野加奈,56.72,2012/1/2
ノエルの夜,AKB48,56.64,2012/1/2
MY EYE AH,Be-ppin,56.57,2012/1/2
This Is My Life 完整版,EXILE,50.92,2012/1/2
ALL MY LOVE,YELLOW FRIED CHICKENz,47.48,2012/1/2
ドキドキベイビー,真野惠里菜,46.3,2012/1/2
Test Drive,赤西仁 Jason Derulo,46.17,2012/1/2
トモダチ/コイビト,moumoon,82.82,2012/1/9
Sign,JUJU,81.05,2012/1/9
我愿意,EXILE ATSUSHI,78.72,2012/1/9
変わったかたちの石,KinKi Kids,77.02,2012/1/9
ワンダフル キューピット 完整版,NYC,73.14,2012/1/9
永远 feat.Tarantula from Spontania,CHIHIRO,72.69,2012/1/9
はじまりのとき,绚香,64.89,2012/1/9
今夜はから騒ぎ,东京事变,62.29,2012/1/9
MY EYE AH,Be-ppin,61.61,2012/1/9
ピョコピョコ ウルトラ 完整版,早安少女组,60.44,2012/1/9
Seasons,赤西仁,57,2012/1/9
ずるいよ... 完整版,Milky Bunny,56.75,2012/1/9
Love Story,安室奈美惠,55.08,2012/1/9
いつだって僕らは,いきものがかり,53.03,2012/1/9
たとえ どんなに... 完整版,西野加奈,52.41,2012/1/9
ノエルの夜,AKB48,51.38,2012/1/9
Your Best Friend 完整版,仓木麻衣,50.5,2012/1/9
Love Me Back 完整版,倖田来未,48.69,2012/1/9
冬のベンチ,シド(SID),48.02,2012/1/9
永远,BENI,88.68,2012/1/16
片想いFinally 完整版,SKE48,85.93,2012/1/16
トモダチ/コイビト,moumoon,84.31,2012/1/16
Boom Boom Boys,倖田来未,76.96,2012/1/16
片想い,miwa,74.77,2012/1/16
纯情U-19 完整版,NMB48,70.69,2012/1/16
少女トラベラー,9nine,70.46,2012/1/16
我愿意,EXILE ATSUSHI,64.51,2012/1/16
Sign,JUJU,62.43,2012/1/16
冬のベンチ,シド(SID),61.99,2012/1/16
ワンダフル キューピット 完整版,NYC,61.94,2012/1/16
今夜はから騒ぎ,东京事变,60.44,2012/1/16
いつだって僕らは,いきものがかり,59.95,2012/1/16
Your Best Friend 完整版,仓木麻衣,57.67,2012/1/16
Love Story,安室奈美惠,56.73,2012/1/16
So Nice feat. Mr.Blistah,倖田来未,54.75,2012/1/16
Miss Mystery,BREAKERZ,54.6,2012/1/16
永远 feat.Tarantula from Spontania,CHIHIRO,52.66,2012/1/16
変わったかたちの石,KinKi Kids,52.52,2012/1/16
Sun Burns Down,赤西仁,96.11,2012/1/23
GIVE ME FIVE!,AKB48,94,2012/1/23
片想いFinally 完整版,SKE48,90.53,2012/1/23
Boom Boom Boys,倖田来未,74.02,2012/1/23
永远,BENI,73.31,2012/1/23
片想い,miwa,66.2,2012/1/23
So Nice feat. Mr.Blistah,倖田来未,65.92,2012/1/23
トモダチ/コイビト,moumoon,64.63,2012/1/23
ずるいよ... 完整版,Milky Bunny,62.18,2012/1/23
冬のベンチ,シド(SID),57.16,2012/1/23
我愿意,EXILE ATSUSHI,53.76,2012/1/23
Sign,JUJU,52.67,2012/1/23
Love Story,安室奈美惠,50.31,2012/1/23
すべてへ,Alice Nine,47.48,2012/1/23
Love Me Back 完整版,倖田来未,47.14,2012/1/23
世界上唯一的花 官方版,SMAP,47.05,2012/1/23
纯情U-19 完整版,NMB48,46.01,2012/1/23
Miss Mystery,BREAKERZ,45.91,2012/1/23
Seasons,赤西仁,45.65,2012/1/23
FLY HIGH,w-inds.,94.47,2012/1/30
シンクロときめき 完整版,渡边麻友,80.57,2012/1/30
GIVE ME FIVE!,AKB48,78.03,2012/1/30
Sun Burns Down,赤西仁,77.4,2012/1/30
SAILING 完整版,AAA,74.82,2012/1/30
君さえいれば feat.小田和正,清水翔太 小田和正,73.87,2012/1/30
雪の降る街,Aimer,71.62,2012/1/30
ぐるぐるカーテン,乃木坂46,70.74,2012/1/30
片想いFinally 完整版,SKE48,66.78,2012/1/30
Za ABC~5stars~,A.B.C-Z,59.1,2012/1/30
"Miss Universe feat. SU,ILMARI, 黒木メイサ",STUDIO APARTMENT,58.09,2012/1/30
故乡,岛谷瞳,55.26,2012/1/30
我愿意,EXILE ATSUSHI,54.62,2012/1/30
永远,BENI,53.15,2012/1/30
片想い,miwa,51.61,2012/1/30
Boom Boom Boys,倖田来未,51.12,2012/1/30
トモダチ/コイビト,moumoon,48.54,2012/1/30
So Nice feat. Mr.Blistah,倖田来未,48.52,2012/1/30
Love Me Back 完整版,倖田来未,46.52,2012/1/30
FLY HIGH,w-inds.,89.56,2012/2/6
HARUKAZE,SCANDAL,85.19,2012/2/6
NOT A LOVE SONG,平原绫香,80.9,2012/2/6
GIVE ME FIVE!,AKB48,77.83,2012/2/6
会いたかったかもしれない,乃木坂46,70.04,2012/2/6
この世界に生まれたわけ,Funky Monkey Babys,69.21,2012/2/6
Sun Burns Down,赤西仁,63.61,2012/2/6
シンクロときめき 完整版,渡边麻友,62.2,2012/2/6
雪の降る街,Aimer,58.33,2012/2/6
君さえいれば feat.小田和正,清水翔太 小田和正,57.59,2012/2/6
片想いFinally 完整版,SKE48,57.2,2012/2/6
SAILING 完整版,AAA,56.13,2012/2/6
KISS KISS BANG BANG,いきものがかり,55.96,2012/2/6
我愿意,EXILE ATSUSHI,55.92,2012/2/6
片想い,miwa,48.84,2012/2/6
So Nice feat. Mr.Blistah,倖田来未,45.51,2012/2/6
Love Story,安室奈美惠,45.1,2012/2/6
Your Best Friend 完整版,仓木麻衣,44.43,2012/2/6
ぐるぐるカーテン,乃木坂46,42.4,2012/2/6
UNTIL THE LAST DAY,GACKT,91.2,2012/2/13
FLY HIGH,w-inds.,88.77,2012/2/13
樱,熊木杏里,87.98,2012/2/13
スイート&ビター,AKB48,79.29,2012/2/13
BabyBaby,游助,73.97,2012/2/13
HARUKAZE,SCANDAL,70.68,2012/2/13
GIVE ME FIVE!,AKB48,65.97,2012/2/13
我愿意,EXILE ATSUSHI,62.48,2012/2/13
NOT A LOVE SONG,平原绫香,55.6,2012/2/13
Go My Way,三代目J Soul Brothers,54.75,2012/2/13
シンクロときめき 完整版,渡边麻友,51.33,2012/2/13
Love Story,安室奈美惠,49.98,2012/2/13
片想いFinally 完整版,SKE48,49.28,2012/2/13
ひとつ,长渕刚,49.11,2012/2/13
君さえいれば feat.小田和正,清水翔太 小田和正,48.21,2012/2/13
Worth Fighting For feat. HOWIE D,城田优 Howie D,46.23,2012/2/13
会いたかったかもしれない,乃木坂46,45.02,2012/2/13
Sun Burns Down,赤西仁,44.95,2012/2/13
Your Best Friend 完整版,仓木麻衣,44.74,2012/2/13
"ミセナイナミダハ,きっといつか",GReeeeN,44.38,2012/2/13
LOCK ON,KAT-TUN,96,2012/2/20
SUPER DELICATE,Hey! Say! JUMP,95.56,2012/2/20
"卒業メモリーズ~サヨナラ,あなた.~",沢井美空,82,2012/2/20
"SAKURA, I Love You?",西野加奈,79.41,2012/2/20
FLY HIGH,w-inds.,74.97,2012/2/20
UNTIL THE LAST DAY,GACKT,71.11,2012/2/20
『Love Is Everywhere』,moumoon,70.76,2012/2/20
樱,熊木杏里,70.52,2012/2/20
HARUKAZE,SCANDAL,59.43,2012/2/20
我愿意,EXILE ATSUSHI,57.72,2012/2/20
スイート&ビター,AKB48,57.67,2012/2/20
GIVE ME FIVE!,AKB48,52.85,2012/2/20
BabyBaby,游助,50.09,2012/2/20
Love Story,安室奈美惠,44.6,2012/2/20
ノエルの夜,AKB48,44.39,2012/2/20
片想いFinally 完整版,SKE48,44.19,2012/2/20
世界上唯一的花 官方版,SMAP,42.61,2012/2/20
シンクロときめき 完整版,渡边麻友,42.4,2012/2/20
Your Best Friend 完整版,仓木麻衣,42.11,2012/2/20
NOT A LOVE SONG,平原绫香,42.05,2012/2/20
ワイルド アット ハート 完整版,岚,97.55,2012/2/27
LOCK ON,KAT-TUN,91.12,2012/2/27
"爱,テキサス 完整版",山下智久,90.31,2012/2/27
SUPER DELICATE,Hey! Say! JUMP,85.71,2012/2/27
"SAKURA, I Love You?",西野加奈,79.14,2012/2/27
The beginning,绚香,77.79,2012/2/27
乃木坂の诗,乃木坂46,69.95,2012/2/27
FLY HIGH,w-inds.,67.27,2012/2/27
负け惜しみコングラチュレーション 完整版,SDN48,66.85,2012/2/27
"卒業メモリーズ~サヨナラ,あなた.~",沢井美空,66.75,2012/2/27
UNTIL THE LAST DAY,GACKT,61.22,2012/2/27
『Love Is Everywhere』,moumoon,59.64,2012/2/27
樱,熊木杏里,59.59,2012/2/27
"また,ここで逢いましょッ",YELLOW FRIED CHICKENz,59.02,2012/2/27
GIVE ME FIVE!,AKB48,57,2012/2/27
シンクロときめき 完整版,渡边麻友,51.82,2012/2/27
我愿意,EXILE ATSUSHI,49.73,2012/2/27
スイート&ビター,AKB48,48.14,2012/2/27
HARUKAZE,SCANDAL,46.91,2012/2/27
Love Story,安室奈美惠,45.28,2012/2/27
How Beautiful You Are,滨崎步,99.32,2012/3/5
Go Round,安室奈美惠,91.53,2012/3/5
ワイルド アット ハート 完整版,岚,85.07,2012/3/5
Ti Amo,BENI,82.63,2012/3/5
"爱,テキサス 完整版",山下智久,80.37,2012/3/5
LOCK ON,KAT-TUN,69.99,2012/3/5
ミルクシェイクSOS! 完整版,Milky Bunny,69.08,2012/3/5
SUPER DELICATE,Hey! Say! JUMP,67.81,2012/3/5
FLY HIGH,w-inds.,64.71,2012/3/5
"SAKURA, I Love You?",西野加奈,60.7,2012/3/5
GIVE ME FIVE!,AKB48,56.72,2012/3/5
樱,熊木杏里,52.75,2012/3/5
负け惜しみコングラチュレーション 完整版,SDN48,52.26,2012/3/5
The beginning,绚香,49.89,2012/3/5
Love Story,安室奈美惠,48.12,2012/3/5
"また,ここで逢いましょッ",YELLOW FRIED CHICKENz,47.9,2012/3/5
IS THIS LOVE?,土屋安娜,47.13,2012/3/5
Tempest,安室奈美惠,46.34,2012/3/5
"卒業メモリーズ~サヨナラ,あなた.~",沢井美空,46.2,2012/3/5
UNTIL THE LAST DAY,GACKT,45.54,2012/3/5
YEAH-OH,安室奈美惠,98.03,2012/3/12
Return Road,滨崎步,91.47,2012/3/12
NaNaNa,滨崎步,84.22,2012/3/12
How Beautiful You Are,滨崎步,82.59,2012/3/12
CANDY CANDY,きゃりーぱみゅぱみゅ,81.45,2012/3/12
Go Round,安室奈美惠,77.66,2012/3/12
SHE! HER! HER! 完整版,Kis-My-Ft2,74.08,2012/3/12
ワイルド アット ハート 完整版,岚,62.23,2012/3/12
SUPER DELICATE,Hey! Say! JUMP,60.99,2012/3/12
IS THIS LOVE?,土屋安娜,60.71,2012/3/12
Ti Amo,BENI,60.67,2012/3/12
"爱,テキサス 完整版",山下智久,57.75,2012/3/12
FLY HIGH,w-inds.,54.8,2012/3/12
"SAKURA, I Love You?",西野加奈,54.44,2012/3/12
Love Story,安室奈美惠,52.69,2012/3/12
GIVE ME FIVE!,AKB48,50.47,2012/3/12
Why...,滨崎步 金俊浩,50.19,2012/3/12
つけまつける,きゃりーぱみゅぱみゅ,49.13,2012/3/12
LOCK ON,KAT-TUN,48.69,2012/3/12
YEAH-OH,安室奈美惠,93.9,2012/3/19
恋爱ハンター,早安少女组,89.1,2012/3/19
One Two Three,E-Girls,86.68,2012/3/19
それでも好きだよ,指原莉乃,76.95,2012/3/19
Return Road,滨崎步,72.99,2012/3/19
Lost The Way 完整版,DiVA,72.4,2012/3/19
SHE! HER! HER! 完整版,Kis-My-Ft2,71.77,2012/3/19
祈り,Kis-My-Ft2,69.8,2012/3/19
How Beautiful You Are,滨崎步,68.65,2012/3/19
Go Round,安室奈美惠,68.17,2012/3/19
CANDY CANDY,きゃりーぱみゅぱみゅ,66.55,2012/3/19
NaNaNa,滨崎步,64.16,2012/3/19
"GO FOR IT, BABY -キオクの山脈-",B'z,62.87,2012/3/19
SUPER DELICATE,Hey! Say! JUMP,62.16,2012/3/19
LOCK ON,KAT-TUN,56.63,2012/3/19
Ti Amo,BENI,55.97,2012/3/19
ワイルド アット ハート 完整版,岚,54.42,2012/3/19
FLY HIGH,w-inds.,53.42,2012/3/19
Love Story,安室奈美惠,52.72,2012/3/19
第二梦 完整版,苍井空,98.44,2012/3/26
Spring Of Life 完整版,Perfume,74.32,2012/3/26
恋爱ハンター,早安少女组,72.41,2012/3/26
YEAH-OH,安室奈美惠,71.54,2012/3/26
Beat Generation,Fairies,69.93,2012/3/26
祈り,Kis-My-Ft2,65.12,2012/3/26
LOVE IS ALL MUSIC,小室哲哉 初音未来,64.47,2012/3/26
Go Round,安室奈美惠,59.21,2012/3/26
我愿意,EXILE ATSUSHI,58.34,2012/3/26
"GO FOR IT, BABY -キオクの山脈-",B'z,53.25,2012/3/26
How Beautiful You Are,滨崎步,50.94,2012/3/26
Return Road,滨崎步,50.67,2012/3/26
SUPER DELICATE,Hey! Say! JUMP,49.32,2012/3/26
One Two Three,E-Girls,49.15,2012/3/26
LOCK ON,KAT-TUN,47.52,2012/3/26
CANDY CANDY,きゃりーぱみゅぱみゅ,46.91,2012/3/26
GIVE ME FIVE!,AKB48,46.78,2012/3/26
Lost The Way 完整版,DiVA,45.1,2012/3/26
SHE! HER! HER! 完整版,Kis-My-Ft2,44.55,2012/3/26
FLY HIGH,w-inds.,43.01,2012/3/26
Clone,板野友美,94.13,2012/4/2
第二梦 完整版,苍井空,89.57,2012/4/2
Spring Of Life 完整版,Perfume,87.83,2012/4/2
ハルウタ,いきものがかり,83.82,2012/4/2
おかあさん,惠比寿マスカッツ,75.99,2012/4/2
100年後のきみに,Love,73.46,2012/4/2
YEAH-OH,安室奈美惠,67.05,2012/4/2
祈り ～泪の轨道 完整版,Mr.Children,66.19,2012/4/2
Beat Generation,Fairies,65.04,2012/4/2
恋爱ハンター,早安少女组,63.83,2012/4/2
shamanippon~くにのうた,堂本刚,62.49,2012/4/2
SUPER DELICATE,Hey! Say! JUMP,60.55,2012/4/2
我愿意,EXILE ATSUSHI,54.69,2012/4/2
CANDY CANDY,きゃりーぱみゅぱみゅ,52.77,2012/4/2
祈り,Kis-My-Ft2,52.2,2012/4/2
One Two Three,E-Girls,52.04,2012/4/2
LOCK ON,KAT-TUN,51.72,2012/4/2
Go Round,安室奈美惠,51.64,2012/4/2
ふいに,板野友美,51.26,2012/4/2
10年後の君へ,板野友美,96.53,2012/4/9
Clone,板野友美,82.81,2012/4/9
残り香,シド(SID),82.53,2012/4/9
ハルウタ,いきものがかり,77.42,2012/4/9
Lady ダイヤモンド,Sexy Zone,77.16,2012/4/9
オレンジ,GReeeeN,74.37,2012/4/9
第二梦 完整版,苍井空,73.69,2012/4/9
Spring Of Life 完整版,Perfume,69.52,2012/4/9
おいでシャンプー,乃木坂46,63.73,2012/4/9
YEAH-OH,安室奈美惠,61.93,2012/4/9
おかあさん,惠比寿マスカッツ,61.79,2012/4/9
爱をあなたに,杏,61.54,2012/4/9
100年後のきみに,Love,61.37,2012/4/9
SUPER DELICATE,Hey! Say! JUMP,60.4,2012/4/9
LOCK ON,KAT-TUN,57.37,2012/4/9
我愿意,EXILE ATSUSHI,56.6,2012/4/9
How Beautiful You Are,滨崎步,52.99,2012/4/9
ふいに,板野友美,52.4,2012/4/9
Love Story,安室奈美惠,52.16,2012/4/9
S,シド(SID),92.29,2012/4/16
真夏のSounds good !,AKB48,92.09,2012/4/16
10年後の君へ,板野友美,82.06,2012/4/16
カラフルワールド,佐佐木希,80.98,2012/4/16
ナギイチ,NMB48,80.51,2012/4/16
残り香,シド(SID),72.22,2012/4/16
Clone,板野友美,67.78,2012/4/16
めぐみ,持田香织,62.18,2012/4/16
おいでシャンプー,乃木坂46,61.27,2012/4/16
ハルウタ,いきものがかり,59.2,2012/4/16
第二梦 完整版,苍井空,52.95,2012/4/16
オレンジ,GReeeeN,52.93,2012/4/16
SUPER DELICATE,Hey! Say! JUMP,51.85,2012/4/16
Lady ダイヤモンド,Sexy Zone,49.06,2012/4/16
How Beautiful You Are,滨崎步,49.03,2012/4/16
YEAH-OH,安室奈美惠,48.88,2012/4/16
ふいに,板野友美,47.44,2012/4/16
Spring Of Life 完整版,Perfume,46.51,2012/4/16
LOCK ON,KAT-TUN,45.3,2012/4/16
"爱,テキサス 完整版",山下智久,44.32,2012/4/16
真夏のSounds good !,AKB48,97.3,2012/4/23
Still Love You 完整版,AAA,79.85,2012/4/23
10年後の君へ,板野友美,79.46,2012/4/23
片想い,YU-A,75.99,2012/4/23
S,シド(SID),74.76,2012/4/23
さかさまの空,SMAP,73.85,2012/4/23
ナギイチ,NMB48,66.37,2012/4/23
Clone,板野友美,64.1,2012/4/23
マミレル,木村カエラ,63.39,2012/4/23
カラフルワールド,佐佐木希,59.3,2012/4/23
残り香,シド(SID),55.04,2012/4/23
ハルウタ,いきものがかり,53.3,2012/4/23
めぐみ,持田香织,51.13,2012/4/23
STAR RIDER,KAT-TUN,50.12,2012/4/23
第二梦 完整版,苍井空,49.77,2012/4/23
How Beautiful You Are,滨崎步,49.59,2012/4/23
SUPER DELICATE,Hey! Say! JUMP,48.9,2012/4/23
オレンジ,GReeeeN,48.11,2012/4/23
LOCK ON,KAT-TUN,46.82,2012/4/23
YEAH-OH,安室奈美惠,44.11,2012/4/23
Face Down 完整版,岚,95.56,2012/4/30
私たち,西野加奈,88.12,2012/4/30
真夏のSounds good !,AKB48,84.23,2012/4/30
少年よ 嘘をつけ!,渡り廊下走り队7,79.95,2012/4/30
えれぴょん,小野惠令奈,69.67,2012/4/30
10年後の君へ,板野友美,69.63,2012/4/30
S,シド(SID),69.3,2012/4/30
Still Love You 完整版,AAA,68.33,2012/4/30
さかさまの空,SMAP,62.34,2012/4/30
カラフルワールド,佐佐木希,60.86,2012/4/30
オレンジ,GReeeeN,59.24,2012/4/30
片想い,YU-A,57.32,2012/4/30
マミレル,木村カエラ,55.26,2012/4/30
残り香,シド(SID),54.12,2012/4/30
ナギイチ,NMB48,53.19,2012/4/30
偶然を言い訳にして,乃木坂46,52.46,2012/4/30
SUPER DELICATE,Hey! Say! JUMP,51.89,2012/4/30
ハルウタ,いきものがかり,50.56,2012/4/30
第二梦 完整版,苍井空,49.91,2012/4/30
STAR RIDER,KAT-TUN,46.97,2012/4/30
Face Down 完整版,岚,98.01,2012/5/7
AIAIAI,加藤ミリヤ,82.7,2012/5/7
自由へ道連れ,椎名林檎,80.97,2012/5/7
Signal,girl next door,78.37,2012/5/7
